"OGR_FID"	"geocodigo"	"nome"	"uf"	"regiao"	"mesoregiao"	"microregiao"	"latitude"	"longitude"
"1"	"1200336"	"M"	"AC"	"Norte"	"VALE DO JURUA"	"CRUZEIRO DO SUL"	"-7,614"	"-72,896"
"2"	"1300201"	"Atalaia do Norte"	"AM"	"Norte"	"SUDOESTE AMAZONENSE"	"ALTO SOLIMOES"	"-4,372"	"-70,192"
"3"	"1301654"	"Guajar"	"AM"	"Norte"	"SUDOESTE AMAZONENSE"	"JURUA"	"-7,546"	"-72,584"
"4"	"1200427"	"Rodrigues Alves"	"AC"	"Norte"	"VALE DO JURUA"	"CRUZEIRO DO SUL"	"-7,742"	"-72,647"
"5"	"1200203"	"Cruzeiro do Sul"	"AC"	"Norte"	"VALE DO JURUA"	"CRUZEIRO DO SUL"	"-7,631"	"-72,67"
"6"	"1200393"	"Porto Walter"	"AC"	"Norte"	"VALE DO JURUA"	"CRUZEIRO DO SUL"	"-8,269"	"-72,744"
"7"	"1200351"	"Marechal Thaumaturgo"	"AC"	"Norte"	"VALE DO JURUA"	"CRUZEIRO DO SUL"	"-8,941"	"-72,792"
"8"	"1200328"	"Jord"	"AC"	"Norte"	"VALE DO JURUA"	"TARAUACA"	"-9,434"	"-71,884"
"9"	"1200609"	"Tarauac"	"AC"	"Norte"	"VALE DO JURUA"	"TARAUACA"	"-8,161"	"-70,766"
"10"	"1301803"	"Ipixuna"	"AM"	"Norte"	"SUDOESTE AMAZONENSE"	"JURUA"	"-7,051"	"-71,695"
"11"	"1200302"	"Feij"	"AC"	"Norte"	"VALE DO JURUA"	"TARAUACA"	"-8,164"	"-70,354"
"12"	"1300607"	"Benjamin Constant"	"AM"	"Norte"	"SUDOESTE AMAZONENSE"	"ALTO SOLIMOES"	"-4,383"	"-70,031"
"13"	"1301407"	"Eirunep"	"AM"	"Norte"	"SUDOESTE AMAZONENSE"	"JURUA"	"-6,66"	"-69,874"
"14"	"1301506"	"Envira"	"AM"	"Norte"	"SUDOESTE AMAZONENSE"	"JURUA"	"-7,433"	"-70,023"
"15"	"1200435"	"Santa Rosa do Purus"	"AC"	"Norte"	"VALE DO ACRE"	"SENA MADUREIRA"	"-9,433"	"-70,493"
"16"	"1302306"	"Juta"	"AM"	"Norte"	"SUDOESTE AMAZONENSE"	"ALTO SOLIMOES"	"-2,747"	"-66,767"
"17"	"1200344"	"Manoel Urbano"	"AC"	"Norte"	"VALE DO ACRE"	"SENA MADUREIRA"	"-8,839"	"-69,26"
"18"	"1303908"	"S"	"AM"	"Norte"	"SUDOESTE AMAZONENSE"	"ALTO SOLIMOES"	"-3,378"	"-68,873"
"19"	"1200500"	"Sena Madureira"	"AC"	"Norte"	"VALE DO ACRE"	"SENA MADUREIRA"	"-9,066"	"-68,657"
"20"	"1200054"	"Assis Brasil"	"AC"	"Norte"	"VALE DO ACRE"	"BRASILEIA"	"-10,941"	"-69,567"
"21"	"1302108"	"Japur"	"AM"	"Norte"	"NORTE AMAZONENSE"	"JAPURA"	"-1,826"	"-66,599"
"22"	"1303809"	"S"	"AM"	"Norte"	"NORTE AMAZONENSE"	"RIO NEGRO"	"-0,13"	"-67,089"
"23"	"1304062"	"Tabatinga"	"AM"	"Norte"	"SUDOESTE AMAZONENSE"	"ALTO SOLIMOES"	"-4,253"	"-69,938"
"24"	"1303700"	"Santo Ant"	"AM"	"Norte"	"SUDOESTE AMAZONENSE"	"ALTO SOLIMOES"	"-3,102"	"-67,94"
"25"	"1303502"	"Pauini"	"AM"	"Norte"	"SUL AMAZONENSE"	"BOCA DO ACRE"	"-7,714"	"-66,976"
"26"	"1200104"	"Brasil"	"AC"	"Norte"	"VALE DO ACRE"	"BRASILEIA"	"-11,01"	"-68,748"
"27"	"1301951"	"Itamarati"	"AM"	"Norte"	"SUDOESTE AMAZONENSE"	"JURUA"	"-6,425"	"-68,253"
"28"	"1200401"	"Rio Branco"	"AC"	"Norte"	"VALE DO ACRE"	"RIO BRANCO"	"-9,975"	"-67,81"
"29"	"1300706"	"Boca do Acre"	"AM"	"Norte"	"SUL AMAZONENSE"	"BOCA DO ACRE"	"-8,752"	"-67,398"
"30"	"1200708"	"Xapuri"	"AC"	"Norte"	"VALE DO ACRE"	"BRASILEIA"	"-10,652"	"-68,504"
"31"	"1304237"	"Tonantins"	"AM"	"Norte"	"SUDOESTE AMAZONENSE"	"ALTO SOLIMOES"	"-2,873"	"-67,802"
"32"	"1300060"	"Amatur"	"AM"	"Norte"	"SUDOESTE AMAZONENSE"	"ALTO SOLIMOES"	"-3,364"	"-68,198"
"33"	"1200252"	"Epitaciol"	"AC"	"Norte"	"VALE DO ACRE"	"BRASILEIA"	"-11,029"	"-68,741"
"34"	"1200138"	"Bujari"	"AC"	"Norte"	"VALE DO ACRE"	"RIO BRANCO"	"-9,831"	"-67,952"
"35"	"1301001"	"Carauari"	"AM"	"Norte"	"SUDOESTE AMAZONENSE"	"JURUA"	"-4,883"	"-66,896"
"36"	"1200807"	"Porto Acre"	"AC"	"Norte"	"VALE DO ACRE"	"RIO BRANCO"	"-9,588"	"-67,533"
"37"	"1200179"	"Capixaba"	"AC"	"Norte"	"VALE DO ACRE"	"RIO BRANCO"	"-10,573"	"-67,676"
"38"	"1304104"	"Tapau"	"AM"	"Norte"	"SUL AMAZONENSE"	"PURUS"	"-5,628"	"-63,183"
"39"	"1303601"	"Santa Isabel do Rio Negro"	"AM"	"Norte"	"NORTE AMAZONENSE"	"RIO NEGRO"	"-0,414"	"-65,019"
"40"	"1200450"	"Senador Guiomard"	"AC"	"Norte"	"VALE DO ACRE"	"RIO BRANCO"	"-10,151"	"-67,736"
"41"	"1200385"	"Pl"	"AC"	"Norte"	"VALE DO ACRE"	"RIO BRANCO"	"-10,335"	"-67,184"
"42"	"1302405"	"L"	"AM"	"Norte"	"SUL AMAZONENSE"	"PURUS"	"-7,259"	"-64,798"
"43"	"1301605"	"Fonte Boa"	"AM"	"Norte"	"SUDOESTE AMAZONENSE"	"ALTO SOLIMOES"	"-2,514"	"-66,092"
"44"	"1302207"	"Juru"	"AM"	"Norte"	"SUDOESTE AMAZONENSE"	"JURUA"	"-3,481"	"-66,069"
"45"	"1200013"	"Acrel"	"AC"	"Norte"	"VALE DO ACRE"	"RIO BRANCO"	"-9,828"	"-66,883"
"46"	"1304203"	"Tef"	"AM"	"Norte"	"CENTRO AMAZONENSE"	"TEFE"	"-3,354"	"-64,711"
"47"	"1100205"	"Porto Velho"	"RO"	"Norte"	"MADEIRA-GUAPORE"	"PORTO VELHO"	"-8,762"	"-63,904"
"48"	"1302801"	"Mara"	"AM"	"Norte"	"NORTE AMAZONENSE"	"JAPURA"	"-1,856"	"-65,581"
"49"	"1304260"	"Uarini"	"AM"	"Norte"	"CENTRO AMAZONENSE"	"TEFE"	"-2,99"	"-65,108"
"50"	"1300029"	"Alvar"	"AM"	"Norte"	"CENTRO AMAZONENSE"	"TEFE"	"-3,221"	"-64,804"
"51"	"1301209"	"Coari"	"AM"	"Norte"	"CENTRO AMAZONENSE"	"COARI"	"-4,085"	"-63,141"
"52"	"1300409"	"Barcelos"	"AM"	"Norte"	"NORTE AMAZONENSE"	"RIO NEGRO"	"-0,975"	"-62,924"
"53"	"1100106"	"Guajar"	"RO"	"Norte"	"MADEIRA-GUAPORE"	"GUAJARA-MIRIM"	"-10,783"	"-65,339"
"54"	"1100338"	"Nova Mamor"	"RO"	"Norte"	"MADEIRA-GUAPORE"	"PORTO VELHO"	"-10,411"	"-65,331"
"55"	"1300904"	"Canutama"	"AM"	"Norte"	"SUL AMAZONENSE"	"PURUS"	"-6,534"	"-64,383"
"56"	"1400027"	"Amajari"	"RR"	"Norte"	"NORTE DE RORAIMA"	"BOA VISTA"	"3,652"	"-61,371"
"57"	"1301308"	"Codaj"	"AM"	"Norte"	"CENTRO AMAZONENSE"	"COARI"	"-3,837"	"-62,057"
"58"	"1100080"	"Costa Marques"	"RO"	"Norte"	"MADEIRA-GUAPORE"	"GUAJARA-MIRIM"	"-12,445"	"-64,227"
"59"	"1400050"	"Alto Alegre"	"RR"	"Norte"	"NORTE DE RORAIMA"	"BOA VISTA"	"2,98"	"-61,292"
